

Loading: /data/user/jkruse/AraSim/outputs/SimEventsForDPFinder/simEvents.root

Destruct class Detector
AveNumHits: 3.000000
AveNumHits: 16.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 11.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 6.000000
AveNumHits: 12.000000
AveNumHits: 18.000000
AveNumHits: 0.000000
AveNumHits: 11.000000
AveNumHits: 2.000000
AveNumHits: 1.000000
AveNumHits: 6.000000
AveNumHits: 0.000000
AveNumHits: 11.000000
AveNumHits: 3.000000
AveNumHits: 3.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 8.000000
AveNumHits: 9.000000
271
AveNumHits: 4.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 8.000000
AveNumHits: 4.000000
AveNumHits: 4.000000
279
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 5.000000
AveNumHits: 7.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 2.000000
AveNumHits: 4.000000
AveNumHits: 11.000000
AveNumHits: 11.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 3.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 9.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 7.000000
AveNumHits: 5.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 41.000000
326
AveNumHits: 3.000000
AveNumHits: 4.000000
AveNumHits: 3.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 23.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 6.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 8.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 6.000000
AveNumHits: 5.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 14.000000
AveNumHits: 1.000000
AveNumHits: 4.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 11.000000
AveNumHits: 2.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 46.000000
371
AveNumHits: 5.000000
AveNumHits: 4.000000
AveNumHits: 0.000000
AveNumHits: 9.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 6.000000
AveNumHits: 0.000000
AveNumHits: 5.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 30.000000
386
AveNumHits: 36.000000
387
AveNumHits: 20.000000
388
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 8.000000
AveNumHits: 6.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 4.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 4.000000
408
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 10.000000
AveNumHits: 5.000000
AveNumHits: 21.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 7.000000
AveNumHits: 33.000000
422
AveNumHits: 7.000000
423
AveNumHits: 3.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 4.000000
AveNumHits: 8.000000
AveNumHits: 4.000000
432
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 3.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 6.000000
AveNumHits: 0.000000
AveNumHits: 42.000000
444
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 10.000000
AveNumHits: 0.000000
AveNumHits: 5.000000
AveNumHits: 4.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 8.000000
AveNumHits: 0.000000
AveNumHits: 2.000000
AveNumHits: 6.000000
AveNumHits: 1.000000
AveNumHits: 5.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 4.000000
AveNumHits: 15.000000
AveNumHits: 0.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 8.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 4.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 18.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 6.000000
AveNumHits: 2.000000
AveNumHits: 1.000000
AveNumHits: 2.000000
AveNumHits: 1.000000
AveNumHits: 1.000000
AveNumHits: 0.000000
AveNumHits: 0.000000
AveNumHits: 3.000000
AveNumHits: 0.000000
