
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
loadAtriPedestals : Loading fAtriPedFile - /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2Pedestals.txt
Number of DPs for Event 294: 3
Number of DPs for Event 301: 3
Number of DPs for Event 327: 3
Number of DPs for Event 367: 3
Number of DPs for Event 448: 3
Number of DPs for Event 512: 3
Number of DPs for Event 709: 3
Number of DPs for Event 710: 3
Number of DPs for Event 723: 3
Number of DPs for Event 727: 3
Number of DPs for Event 728: 3
Number of DPs for Event 743: 3
Number of DPs for Event 760: 3
Number of DPs for Event 767: 3
Number of DPs for Event 776: 3
Number of DPs for Event 793: 3
Number of DPs for Event 797: 3
Number of DPs for Event 804: 3
Number of DPs for Event 842: 3
Number of DPs for Event 858: 3
Number of DPs for Event 869: 3
Number of DPs for Event 876: 3
Number of DPs for Event 883: 3
Number of DPs for Event 913: 3
Number of DPs for Event 931: 3
Number of DPs for Event 934: 3
Number of DPs for Event 951: 3
Number of DPs for Event 964: 3
Number of DPs for Event 974: 3
Number of DPs for Event 977: 3
Number of DPs for Event 984: 3
Number of DPs for Event 989: 3
Number of DPs for Event 998: 3
Number of DPs for Event 1023: 3
Number of DPs for Event 1069: 3
Number of DPs for Event 1098: 3
Number of DPs for Event 1100: 3
Number of DPs for Event 1107: 3
Number of DPs for Event 1118: 3
Number of DPs for Event 1127: 3
Number of DPs for Event 1135: 3
Number of DPs for Event 1138: 3
Number of DPs for Event 1143: 3
Number of DPs for Event 1155: 3
Number of DPs for Event 1156: 3
Number of DPs for Event 1161: 3
Number of DPs for Event 1168: 3
Number of DPs for Event 1175: 3
Number of DPs for Event 1187: 3
Number of DPs for Event 1283: 3
Number of DPs for Event 1286: 3
Number of DPs for Event 1294: 3
Number of DPs for Event 1310: 3
Number of DPs for Event 1323: 3
Number of DPs for Event 1354: 3
Number of DPs for Event 1377: 3
Number of DPs for Event 1386: 3
Number of DPs for Event 1403: 3
Number of DPs for Event 1424: 3
Number of DPs for Event 1430: 3
Number of DPs for Event 1448: 3
Number of DPs for Event 1450: 3
Number of DPs for Event 1454: 3
Number of DPs for Event 1455: 3
Number of DPs for Event 1458: 3
Number of DPs for Event 1463: 3
Number of DPs for Event 1467: 3
Number of DPs for Event 1472: 3
Number of DPs for Event 1475: 3
Number of DPs for Event 1478: 3
Number of DPs for Event 1484: 3
Number of DPs for Event 1485: 3
Number of DPs for Event 1486: 3
Number of DPs for Event 1488: 3
Number of DPs for Event 1489: 3
Number of DPs for Event 1492: 3
Number of DPs for Event 1493: 3
Number of DPs for Event 1495: 3
Number of DPs for Event 1496: 3
Number of DPs for Event 1497: 3
Number of DPs for Event 1498: 3
Number of DPs for Event 1499: 3
Number of DPs for Event 1500: 3
Number of DPs for Event 1501: 3
Number of DPs for Event 1502: 3
Number of DPs for Event 1503: 3
Number of DPs for Event 1504: 3
Number of DPs for Event 1508: 3
Number of DPs for Event 1509: 3
Number of DPs for Event 1512: 3
Number of DPs for Event 1514: 3
Number of DPs for Event 1620: 3
Number of DPs for Event 1714: 3
Number of DPs for Event 1834: 3
Number of DPs for Event 1841: 3
Number of DPs for Event 1861: 3
Number of DPs for Event 1874: 3
Number of DPs for Event 1897: 3
Number of DPs for Event 1921: 3
Number of DPs for Event 1942: 3
Number of DPs for Event 1998: 3
Number of DPs for Event 2001: 3
Number of DPs for Event 2009: 3
Number of DPs for Event 2013: 3
Number of DPs for Event 2020: 3
Number of DPs for Event 2039: 3
Number of DPs for Event 2054: 3
Number of DPs for Event 2070: 3
Number of DPs for Event 2106: 3
Number of DPs for Event 2111: 3
Number of DPs for Event 2112: 3
Number of DPs for Event 2114: 3
Number of DPs for Event 2119: 3
Number of DPs for Event 2126: 3
Number of DPs for Event 2135: 3
Number of DPs for Event 2150: 3
Number of DPs for Event 2168: 3
Number of DPs for Event 2179: 3
Number of DPs for Event 2188: 3
Number of DPs for Event 2258: 3
Number of DPs for Event 2267: 3
Number of DPs for Event 2284: 3
Number of DPs for Event 2301: 3
Number of DPs for Event 2343: 3
Number of DPs for Event 2362: 3
Number of DPs for Event 2376: 3
Number of DPs for Event 2380: 3
Number of DPs for Event 2384: 3
Number of DPs for Event 2420: 3
Number of DPs for Event 2421: 3
Number of DPs for Event 2443: 3
Number of DPs for Event 2466: 3
Number of DPs for Event 2474: 3
Number of DPs for Event 2475: 3
Number of DPs for Event 2486: 3
Number of DPs for Event 2531: 3
Number of DPs for Event 2538: 3
Number of DPs for Event 2567: 3
Number of DPs for Event 2570: 3
Number of DPs for Event 2588: 3
Number of DPs for Event 2603: 3
Number of DPs for Event 2616: 3
Number of DPs for Event 2629: 3
Number of DPs for Event 2674: 3
Number of DPs for Event 2704: 3
Number of DPs for Event 2712: 3
