
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
loadAtriPedestals : Loading fAtriPedFile - /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2Pedestals.txt
Number of DPs for Event 349: 4
Number of DPs for Event 390: 4
Number of DPs for Event 442: 4
Number of DPs for Event 690: 4
Number of DPs for Event 699: 4
Number of DPs for Event 704: 4
Number of DPs for Event 720: 4
Number of DPs for Event 731: 4
Number of DPs for Event 736: 4
Number of DPs for Event 737: 4
Number of DPs for Event 738: 4
Number of DPs for Event 749: 4
Number of DPs for Event 755: 4
Number of DPs for Event 757: 4
Number of DPs for Event 761: 4
Number of DPs for Event 768: 4
Number of DPs for Event 859: 4
Number of DPs for Event 918: 4
Number of DPs for Event 944: 4
Number of DPs for Event 952: 4
Number of DPs for Event 955: 4
Number of DPs for Event 970: 4
Number of DPs for Event 972: 4
Number of DPs for Event 976: 4
Number of DPs for Event 980: 4
Number of DPs for Event 986: 4
Number of DPs for Event 1004: 4
Number of DPs for Event 1005: 4
Number of DPs for Event 1032: 4
Number of DPs for Event 1059: 4
Number of DPs for Event 1061: 4
Number of DPs for Event 1067: 4
Number of DPs for Event 1086: 4
Number of DPs for Event 1089: 4
Number of DPs for Event 1110: 4
Number of DPs for Event 1141: 4
Number of DPs for Event 1157: 4
Number of DPs for Event 1172: 4
Number of DPs for Event 1193: 4
Number of DPs for Event 1274: 4
Number of DPs for Event 1282: 4
Number of DPs for Event 1303: 4
Number of DPs for Event 1373: 4
Number of DPs for Event 1381: 4
Number of DPs for Event 1384: 4
Number of DPs for Event 1421: 4
Number of DPs for Event 1433: 4
Number of DPs for Event 1452: 4
Number of DPs for Event 1459: 4
Number of DPs for Event 1469: 4
Number of DPs for Event 1473: 4
Number of DPs for Event 1487: 4
Number of DPs for Event 1490: 4
Number of DPs for Event 1494: 4
Number of DPs for Event 1505: 4
Number of DPs for Event 1506: 4
Number of DPs for Event 1507: 4
Number of DPs for Event 1510: 4
Number of DPs for Event 1511: 4
Number of DPs for Event 1513: 4
Number of DPs for Event 1762: 4
Number of DPs for Event 1833: 4
Number of DPs for Event 1856: 4
Number of DPs for Event 1859: 4
Number of DPs for Event 1905: 4
Number of DPs for Event 1910: 4
Number of DPs for Event 1912: 4
Number of DPs for Event 1919: 4
Number of DPs for Event 2026: 4
Number of DPs for Event 2031: 4
Number of DPs for Event 2033: 4
Number of DPs for Event 2038: 4
Number of DPs for Event 2046: 4
Number of DPs for Event 2052: 4
Number of DPs for Event 2058: 4
Number of DPs for Event 2059: 4
Number of DPs for Event 2071: 4
Number of DPs for Event 2082: 4
Number of DPs for Event 2087: 4
Number of DPs for Event 2088: 4
Number of DPs for Event 2093: 4
Number of DPs for Event 2099: 4
Number of DPs for Event 2104: 4
Number of DPs for Event 2113: 4
Number of DPs for Event 2133: 4
Number of DPs for Event 2142: 4
Number of DPs for Event 2209: 4
Number of DPs for Event 2227: 4
Number of DPs for Event 2233: 4
Number of DPs for Event 2300: 4
Number of DPs for Event 2305: 4
Number of DPs for Event 2307: 4
Number of DPs for Event 2339: 4
Number of DPs for Event 2359: 4
Number of DPs for Event 2411: 4
Number of DPs for Event 2412: 4
Number of DPs for Event 2432: 4
Number of DPs for Event 2433: 4
Number of DPs for Event 2454: 4
Number of DPs for Event 2477: 4
Number of DPs for Event 2506: 4
Number of DPs for Event 2518: 4
Number of DPs for Event 2527: 4
Number of DPs for Event 2545: 4
Number of DPs for Event 2553: 4
Number of DPs for Event 2599: 4
Number of DPs for Event 2618: 4
Number of DPs for Event 2635: 4
Number of DPs for Event 2650: 4
Number of DPs for Event 2652: 4
Number of DPs for Event 2662: 4
Number of DPs for Event 2714: 4
Number of DPs for Event 2719: 4
