
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
loadAtriPedestals : Loading fAtriPedFile - /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2Pedestals.txt
Number of DPs for Event 297: 2
Number of DPs for Event 306: 2
Number of DPs for Event 316: 2
Number of DPs for Event 320: 2
Number of DPs for Event 348: 2
Number of DPs for Event 351: 2
Number of DPs for Event 353: 2
Number of DPs for Event 354: 2
Number of DPs for Event 361: 2
Number of DPs for Event 374: 2
Number of DPs for Event 385: 2
Number of DPs for Event 386: 2
Number of DPs for Event 395: 2
Number of DPs for Event 524: 2
Number of DPs for Event 668: 2
Number of DPs for Event 696: 2
Number of DPs for Event 708: 2
Number of DPs for Event 713: 2
Number of DPs for Event 735: 2
Number of DPs for Event 740: 2
Number of DPs for Event 754: 2
Number of DPs for Event 763: 2
Number of DPs for Event 769: 2
Number of DPs for Event 775: 2
Number of DPs for Event 777: 2
Number of DPs for Event 779: 2
Number of DPs for Event 827: 2
Number of DPs for Event 838: 2
Number of DPs for Event 866: 2
Number of DPs for Event 871: 2
Number of DPs for Event 875: 2
Number of DPs for Event 878: 2
Number of DPs for Event 879: 2
Number of DPs for Event 886: 2
Number of DPs for Event 903: 2
Number of DPs for Event 908: 2
Number of DPs for Event 912: 2
Number of DPs for Event 926: 2
Number of DPs for Event 941: 2
Number of DPs for Event 942: 2
Number of DPs for Event 947: 2
Number of DPs for Event 958: 2
Number of DPs for Event 959: 2
Number of DPs for Event 965: 2
Number of DPs for Event 968: 2
Number of DPs for Event 981: 2
Number of DPs for Event 991: 2
Number of DPs for Event 1000: 2
Number of DPs for Event 1031: 2
Number of DPs for Event 1040: 2
Number of DPs for Event 1046: 2
Number of DPs for Event 1072: 2
Number of DPs for Event 1077: 2
Number of DPs for Event 1083: 2
Number of DPs for Event 1094: 2
Number of DPs for Event 1101: 2
Number of DPs for Event 1129: 2
Number of DPs for Event 1136: 2
Number of DPs for Event 1149: 2
Number of DPs for Event 1171: 2
Number of DPs for Event 1174: 2
Number of DPs for Event 1176: 2
Number of DPs for Event 1200: 2
Number of DPs for Event 1273: 2
Number of DPs for Event 1277: 2
Number of DPs for Event 1278: 2
Number of DPs for Event 1298: 2
Number of DPs for Event 1301: 2
Number of DPs for Event 1306: 2
Number of DPs for Event 1316: 2
Number of DPs for Event 1324: 2
Number of DPs for Event 1333: 2
Number of DPs for Event 1346: 2
Number of DPs for Event 1351: 2
Number of DPs for Event 1360: 2
Number of DPs for Event 1362: 2
Number of DPs for Event 1364: 2
Number of DPs for Event 1365: 2
Number of DPs for Event 1366: 2
Number of DPs for Event 1368: 2
Number of DPs for Event 1371: 2
Number of DPs for Event 1372: 2
Number of DPs for Event 1375: 2
Number of DPs for Event 1382: 2
Number of DPs for Event 1383: 2
Number of DPs for Event 1388: 2
Number of DPs for Event 1389: 2
Number of DPs for Event 1390: 2
Number of DPs for Event 1391: 2
