
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
Number of DPs for Event 1392: 2
Number of DPs for Event 1393: 2
Number of DPs for Event 1396: 2
Number of DPs for Event 1398: 2
Number of DPs for Event 1404: 2
Number of DPs for Event 1407: 2
Number of DPs for Event 1410: 2
Number of DPs for Event 1411: 2
Number of DPs for Event 1412: 2
Number of DPs for Event 1414: 2
Number of DPs for Event 1416: 2
Number of DPs for Event 1417: 2
Number of DPs for Event 1426: 2
Number of DPs for Event 1427: 2
Number of DPs for Event 1432: 2
Number of DPs for Event 1435: 2
Number of DPs for Event 1437: 2
Number of DPs for Event 1440: 2
Number of DPs for Event 1441: 2
Number of DPs for Event 1447: 2
Number of DPs for Event 1451: 2
Number of DPs for Event 1456: 2
Number of DPs for Event 1460: 2
Number of DPs for Event 1462: 2
Number of DPs for Event 1464: 2
Number of DPs for Event 1466: 2
Number of DPs for Event 1468: 2
Number of DPs for Event 1471: 2
Number of DPs for Event 1474: 2
Number of DPs for Event 1476: 2
Number of DPs for Event 1477: 2
Number of DPs for Event 1479: 2
Number of DPs for Event 1480: 2
Number of DPs for Event 1481: 2
Number of DPs for Event 1482: 2
Number of DPs for Event 1483: 2
Number of DPs for Event 1491: 2
Number of DPs for Event 1571: 2
Number of DPs for Event 1586: 2
Number of DPs for Event 1589: 2
Number of DPs for Event 1599: 2
Number of DPs for Event 1605: 2
Number of DPs for Event 1633: 2
Number of DPs for Event 1635: 2
Number of DPs for Event 1701: 2
Number of DPs for Event 1702: 2
Number of DPs for Event 1730: 2
Number of DPs for Event 1844: 2
Number of DPs for Event 1916: 2
Number of DPs for Event 1934: 2
Number of DPs for Event 1940: 2
Number of DPs for Event 1954: 2
Number of DPs for Event 1959: 2
Number of DPs for Event 1961: 2
Number of DPs for Event 1963: 2
Number of DPs for Event 1965: 2
Number of DPs for Event 1973: 2
Number of DPs for Event 2002: 2
Number of DPs for Event 2003: 2
Number of DPs for Event 2007: 2
Number of DPs for Event 2035: 2
Number of DPs for Event 2057: 2
Number of DPs for Event 2065: 2
Number of DPs for Event 2069: 2
Number of DPs for Event 2075: 2
Number of DPs for Event 2081: 2
Number of DPs for Event 2086: 2
Number of DPs for Event 2089: 2
Number of DPs for Event 2097: 2
Number of DPs for Event 2101: 2
Number of DPs for Event 2110: 2
Number of DPs for Event 2116: 2
Number of DPs for Event 2123: 2
Number of DPs for Event 2125: 2
Number of DPs for Event 2131: 2
Number of DPs for Event 2140: 2
Number of DPs for Event 2158: 2
Number of DPs for Event 2213: 2
Number of DPs for Event 2219: 2
Number of DPs for Event 2275: 2
Number of DPs for Event 2303: 2
Number of DPs for Event 2306: 2
Number of DPs for Event 2313: 2
Number of DPs for Event 2332: 2
Number of DPs for Event 2349: 2
Number of DPs for Event 2350: 2
Number of DPs for Event 2358: 2
Number of DPs for Event 2374: 2
Number of DPs for Event 2375: 2
Number of DPs for Event 2379: 2
Number of DPs for Event 2410: 2
Number of DPs for Event 2429: 2
Number of DPs for Event 2437: 2
Number of DPs for Event 2452: 2
Number of DPs for Event 2476: 2
Number of DPs for Event 2492: 2
Number of DPs for Event 2493: 2
Number of DPs for Event 2502: 2
Number of DPs for Event 2510: 2
Number of DPs for Event 2513: 2
Number of DPs for Event 2517: 2
Number of DPs for Event 2537: 2
Number of DPs for Event 2547: 2
Number of DPs for Event 2572: 2
Number of DPs for Event 2582: 2
Number of DPs for Event 2592: 2
Number of DPs for Event 2594: 2
Number of DPs for Event 2600: 2
Number of DPs for Event 2608: 2
Number of DPs for Event 2620: 2
Number of DPs for Event 2627: 2
Number of DPs for Event 2636: 2
Number of DPs for Event 2649: 2
Number of DPs for Event 2651: 2
Number of DPs for Event 2664: 2
Number of DPs for Event 2673: 2
Number of DPs for Event 2677: 2
Number of DPs for Event 2695: 2
Number of DPs for Event 2700: 2
