
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
loadAtriPedestals : Loading fAtriPedFile - /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2Pedestals.txt
Number of DPs for Event 47: 5
Number of DPs for Event 51: 5
Number of DPs for Event 62: 5
Number of DPs for Event 77: 5
Number of DPs for Event 231: 5
Number of DPs for Event 326: 5
Number of DPs for Event 345: 5
Number of DPs for Event 346: 5
Number of DPs for Event 362: 5
Number of DPs for Event 529: 5
Number of DPs for Event 534: 5
Number of DPs for Event 557: 5
Number of DPs for Event 686: 5
Number of DPs for Event 687: 5
Number of DPs for Event 706: 5
Number of DPs for Event 712: 5
Number of DPs for Event 724: 5
Number of DPs for Event 730: 5
Number of DPs for Event 758: 5
Number of DPs for Event 816: 5
Number of DPs for Event 828: 5
Number of DPs for Event 896: 5
Number of DPs for Event 907: 5
Number of DPs for Event 916: 5
Number of DPs for Event 935: 5
Number of DPs for Event 960: 5
Number of DPs for Event 961: 5
Number of DPs for Event 1002: 5
Number of DPs for Event 1008: 5
Number of DPs for Event 1033: 5
Number of DPs for Event 1042: 5
Number of DPs for Event 1056: 5
Number of DPs for Event 1074: 5
Number of DPs for Event 1079: 5
Number of DPs for Event 1124: 5
Number of DPs for Event 1185: 5
Number of DPs for Event 1230: 5
Number of DPs for Event 1263: 5
Number of DPs for Event 1291: 5
Number of DPs for Event 1428: 5
Number of DPs for Event 1444: 5
Number of DPs for Event 1515: 5
Number of DPs for Event 1765: 5
Number of DPs for Event 1777: 5
Number of DPs for Event 1846: 5
Number of DPs for Event 1860: 5
Number of DPs for Event 1871: 5
Number of DPs for Event 1885: 5
Number of DPs for Event 1888: 5
Number of DPs for Event 1896: 5
Number of DPs for Event 1904: 5
Number of DPs for Event 1936: 5
Number of DPs for Event 1958: 5
Number of DPs for Event 1967: 5
Number of DPs for Event 1968: 5
Number of DPs for Event 1970: 5
Number of DPs for Event 2014: 5
Number of DPs for Event 2019: 5
Number of DPs for Event 2024: 5
Number of DPs for Event 2034: 5
Number of DPs for Event 2056: 5
Number of DPs for Event 2072: 5
Number of DPs for Event 2136: 5
Number of DPs for Event 2186: 5
Number of DPs for Event 2202: 5
Number of DPs for Event 2215: 5
Number of DPs for Event 2218: 5
Number of DPs for Event 2232: 5
Number of DPs for Event 2239: 5
Number of DPs for Event 2274: 5
Number of DPs for Event 2277: 5
Number of DPs for Event 2282: 5
Number of DPs for Event 2288: 5
Number of DPs for Event 2299: 5
Number of DPs for Event 2310: 5
Number of DPs for Event 2336: 5
Number of DPs for Event 2338: 5
Number of DPs for Event 2344: 5
Number of DPs for Event 2369: 5
Number of DPs for Event 2417: 5
Number of DPs for Event 2519: 5
Number of DPs for Event 2529: 5
Number of DPs for Event 2573: 5
Number of DPs for Event 2590: 5
Number of DPs for Event 2591: 5
Number of DPs for Event 2628: 5
Number of DPs for Event 2631: 5
Number of DPs for Event 2653: 5
Number of DPs for Event 2682: 5
