
Loading: /data/user/aschultz/AraReco/Results/filteredEvents-Hit-TimSeq-Surf.root

virtual void FileReader::setupGeometry()
AraEventCalibrator::loadAtriCalib(): INFO - Calibration file = /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2SampleTiming.txt
loadAtriPedestals : Loading fAtriPedFile - /net/ara/install_dir/AraRoot/branches/3.13//share/araCalib/ATRI/araAtriStation2Pedestals.txt
Number of DPs for Event 1: 1
Number of DPs for Event 19: 1
Number of DPs for Event 69: 1
Number of DPs for Event 223: 1
Number of DPs for Event 239: 1
Number of DPs for Event 304: 1
Number of DPs for Event 310: 1
Number of DPs for Event 311: 1
Number of DPs for Event 312: 1
Number of DPs for Event 322: 1
Number of DPs for Event 335: 1
Number of DPs for Event 339: 1
Number of DPs for Event 359: 1
Number of DPs for Event 360: 1
Number of DPs for Event 371: 1
Number of DPs for Event 383: 1
Number of DPs for Event 401: 1
Number of DPs for Event 414: 1
Number of DPs for Event 415: 1
Number of DPs for Event 424: 1
Number of DPs for Event 439: 1
Number of DPs for Event 486: 1
Number of DPs for Event 505: 1
Number of DPs for Event 555: 1
Number of DPs for Event 611: 1
Number of DPs for Event 626: 1
Number of DPs for Event 630: 1
Number of DPs for Event 636: 1
Number of DPs for Event 645: 1
Number of DPs for Event 667: 1
Number of DPs for Event 683: 1
Number of DPs for Event 689: 1
Number of DPs for Event 692: 1
Number of DPs for Event 697: 1
Number of DPs for Event 719: 1
Number of DPs for Event 734: 1
Number of DPs for Event 744: 1
Number of DPs for Event 764: 1
Number of DPs for Event 766: 1
Number of DPs for Event 771: 1
Number of DPs for Event 781: 1
Number of DPs for Event 782: 1
Number of DPs for Event 785: 1
Number of DPs for Event 788: 1
Number of DPs for Event 795: 1
Number of DPs for Event 806: 1
Number of DPs for Event 809: 1
Number of DPs for Event 814: 1
Number of DPs for Event 818: 1
Number of DPs for Event 820: 1
Number of DPs for Event 826: 1
Number of DPs for Event 830: 1
Number of DPs for Event 833: 1
Number of DPs for Event 834: 1
Number of DPs for Event 836: 1
Number of DPs for Event 839: 1
Number of DPs for Event 843: 1
Number of DPs for Event 850: 1
Number of DPs for Event 851: 1
Number of DPs for Event 857: 1
Number of DPs for Event 862: 1
Number of DPs for Event 863: 1
Number of DPs for Event 865: 1
Number of DPs for Event 873: 1
Number of DPs for Event 877: 1
Number of DPs for Event 885: 1
Number of DPs for Event 902: 1
Number of DPs for Event 906: 1
Number of DPs for Event 910: 1
Number of DPs for Event 914: 1
Number of DPs for Event 917: 1
Number of DPs for Event 919: 1
Number of DPs for Event 920: 1
Number of DPs for Event 924: 1
Number of DPs for Event 925: 1
Number of DPs for Event 928: 1
Number of DPs for Event 933: 1
Number of DPs for Event 938: 1
Number of DPs for Event 939: 1
Number of DPs for Event 940: 1
Number of DPs for Event 945: 1
Number of DPs for Event 949: 1
Number of DPs for Event 954: 1
Number of DPs for Event 963: 1
Number of DPs for Event 982: 1
Number of DPs for Event 985: 1
Number of DPs for Event 995: 1
Number of DPs for Event 997: 1
Number of DPs for Event 1013: 1
Number of DPs for Event 1018: 1
Number of DPs for Event 1024: 1
Number of DPs for Event 1028: 1
Number of DPs for Event 1029: 1
Number of DPs for Event 1044: 1
Number of DPs for Event 1047: 1
Number of DPs for Event 1054: 1
Number of DPs for Event 1066: 1
Number of DPs for Event 1071: 1
Number of DPs for Event 1076: 1
Number of DPs for Event 1081: 1
Number of DPs for Event 1087: 1
Number of DPs for Event 1090: 1
Number of DPs for Event 1099: 1
Number of DPs for Event 1103: 1
Number of DPs for Event 1105: 1
Number of DPs for Event 1116: 1
Number of DPs for Event 1117: 1
Number of DPs for Event 1119: 1
Number of DPs for Event 1121: 1
Number of DPs for Event 1125: 1
Number of DPs for Event 1126: 1
Number of DPs for Event 1133: 1
Number of DPs for Event 1137: 1
Number of DPs for Event 1140: 1
Number of DPs for Event 1146: 1
Number of DPs for Event 1151: 1
Number of DPs for Event 1152: 1
Number of DPs for Event 1160: 1
Number of DPs for Event 1162: 1
Number of DPs for Event 1167: 1
Number of DPs for Event 1173: 1
Number of DPs for Event 1181: 1
Number of DPs for Event 1197: 1
Number of DPs for Event 1199: 1
Number of DPs for Event 1203: 1
Number of DPs for Event 1204: 1
Number of DPs for Event 1209: 1
Number of DPs for Event 1210: 1
Number of DPs for Event 1212: 1
Number of DPs for Event 1219: 1
Number of DPs for Event 1222: 1
Number of DPs for Event 1227: 1
Number of DPs for Event 1232: 1
Number of DPs for Event 1233: 1
Number of DPs for Event 1235: 1
Number of DPs for Event 1238: 1
Number of DPs for Event 1241: 1
Number of DPs for Event 1242: 1
Number of DPs for Event 1245: 1
Number of DPs for Event 1247: 1
Number of DPs for Event 1253: 1
Number of DPs for Event 1255: 1
Number of DPs for Event 1265: 1
Number of DPs for Event 1267: 1
Number of DPs for Event 1268: 1
Number of DPs for Event 1270: 1
Number of DPs for Event 1284: 1
Number of DPs for Event 1295: 1
Number of DPs for Event 1297: 1
Number of DPs for Event 1307: 1
Number of DPs for Event 1308: 1
Number of DPs for Event 1311: 1
Number of DPs for Event 1318: 1
Number of DPs for Event 1332: 1
Number of DPs for Event 1335: 1
Number of DPs for Event 1336: 1
Number of DPs for Event 1339: 1
Number of DPs for Event 1342: 1
Number of DPs for Event 1343: 1
Number of DPs for Event 1345: 1
Number of DPs for Event 1348: 1
Number of DPs for Event 1355: 1
Number of DPs for Event 1356: 1
Number of DPs for Event 1359: 1
Number of DPs for Event 1361: 1
Number of DPs for Event 1363: 1
Number of DPs for Event 1367: 1
Number of DPs for Event 1370: 1
Number of DPs for Event 1374: 1
Number of DPs for Event 1385: 1
Number of DPs for Event 1387: 1
Number of DPs for Event 1394: 1
Number of DPs for Event 1395: 1
Number of DPs for Event 1397: 1
Number of DPs for Event 1399: 1
Number of DPs for Event 1400: 1
Number of DPs for Event 1402: 1
Number of DPs for Event 1406: 1
Number of DPs for Event 1408: 1
Number of DPs for Event 1409: 1
Number of DPs for Event 1419: 1
Number of DPs for Event 1420: 1
Number of DPs for Event 1422: 1
Number of DPs for Event 1431: 1
Number of DPs for Event 1434: 1
Number of DPs for Event 1436: 1
Number of DPs for Event 1438: 1
Number of DPs for Event 1442: 1
Number of DPs for Event 1445: 1
Number of DPs for Event 1446: 1
Number of DPs for Event 1453: 1
Number of DPs for Event 1465: 1
Number of DPs for Event 1470: 1
Number of DPs for Event 1564: 1
Number of DPs for Event 1572: 1
Number of DPs for Event 1579: 1
Number of DPs for Event 1583: 1
Number of DPs for Event 1588: 1
Number of DPs for Event 1594: 1
Number of DPs for Event 1596: 1
Number of DPs for Event 1604: 1
Number of DPs for Event 1606: 1
Number of DPs for Event 1607: 1
Number of DPs for Event 1608: 1
Number of DPs for Event 1611: 1
Number of DPs for Event 1612: 1
Number of DPs for Event 1630: 1
Number of DPs for Event 1697: 1
Number of DPs for Event 1700: 1
Number of DPs for Event 1721: 1
Number of DPs for Event 1741: 1
Number of DPs for Event 1756: 1
Number of DPs for Event 1785: 1
Number of DPs for Event 1810: 1
Number of DPs for Event 1842: 1
Number of DPs for Event 1847: 1
Number of DPs for Event 1848: 1
Number of DPs for Event 1851: 1
Number of DPs for Event 1854: 1
Number of DPs for Event 1855: 1
Number of DPs for Event 1866: 1
Number of DPs for Event 1872: 1
Number of DPs for Event 1882: 1
Number of DPs for Event 1883: 1
Number of DPs for Event 1895: 1
Number of DPs for Event 1903: 1
Number of DPs for Event 1915: 1
Number of DPs for Event 1920: 1
Number of DPs for Event 1937: 1
Number of DPs for Event 1944: 1
Number of DPs for Event 1969: 1
Number of DPs for Event 1976: 1
Number of DPs for Event 1980: 1
Number of DPs for Event 1984: 1
Number of DPs for Event 2036: 1
Number of DPs for Event 2042: 1
Number of DPs for Event 2047: 1
Number of DPs for Event 2048: 1
Number of DPs for Event 2055: 1
Number of DPs for Event 2061: 1
Number of DPs for Event 2063: 1
Number of DPs for Event 2066: 1
Number of DPs for Event 2073: 1
Number of DPs for Event 2084: 1
Number of DPs for Event 2085: 1
Number of DPs for Event 2098: 1
Number of DPs for Event 2107: 1
Number of DPs for Event 2108: 1
Number of DPs for Event 2109: 1
Number of DPs for Event 2122: 1
Number of DPs for Event 2128: 1
Number of DPs for Event 2132: 1
Number of DPs for Event 2134: 1
Number of DPs for Event 2149: 1
Number of DPs for Event 2151: 1
Number of DPs for Event 2156: 1
Number of DPs for Event 2162: 1
Number of DPs for Event 2166: 1
Number of DPs for Event 2189: 1
Number of DPs for Event 2200: 1
Number of DPs for Event 2204: 1
Number of DPs for Event 2208: 1
Number of DPs for Event 2222: 1
Number of DPs for Event 2242: 1
Number of DPs for Event 2261: 1
Number of DPs for Event 2269: 1
Number of DPs for Event 2276: 1
Number of DPs for Event 2286: 1
Number of DPs for Event 2295: 1
Number of DPs for Event 2298: 1
Number of DPs for Event 2304: 1
Number of DPs for Event 2308: 1
Number of DPs for Event 2312: 1
Number of DPs for Event 2317: 1
Number of DPs for Event 2319: 1
Number of DPs for Event 2320: 1
Number of DPs for Event 2327: 1
Number of DPs for Event 2328: 1
Number of DPs for Event 2331: 1
Number of DPs for Event 2334: 1
Number of DPs for Event 2345: 1
Number of DPs for Event 2360: 1
Number of DPs for Event 2364: 1
Number of DPs for Event 2365: 1
Number of DPs for Event 2366: 1
Number of DPs for Event 2370: 1
Number of DPs for Event 2381: 1
Number of DPs for Event 2388: 1
Number of DPs for Event 2390: 1
Number of DPs for Event 2394: 1
Number of DPs for Event 2399: 1
Number of DPs for Event 2406: 1
Number of DPs for Event 2408: 1
Number of DPs for Event 2409: 1
Number of DPs for Event 2416: 1
Number of DPs for Event 2419: 1
Number of DPs for Event 2434: 1
Number of DPs for Event 2451: 1
Number of DPs for Event 2453: 1
Number of DPs for Event 2465: 1
Number of DPs for Event 2469: 1
Number of DPs for Event 2470: 1
Number of DPs for Event 2480: 1
Number of DPs for Event 2487: 1
Number of DPs for Event 2489: 1
Number of DPs for Event 2490: 1
Number of DPs for Event 2495: 1
Number of DPs for Event 2499: 1
Number of DPs for Event 2503: 1
Number of DPs for Event 2504: 1
Number of DPs for Event 2507: 1
Number of DPs for Event 2515: 1
Number of DPs for Event 2524: 1
Number of DPs for Event 2540: 1
Number of DPs for Event 2556: 1
Number of DPs for Event 2560: 1
Number of DPs for Event 2563: 1
Number of DPs for Event 2566: 1
Number of DPs for Event 2569: 1
Number of DPs for Event 2574: 1
Number of DPs for Event 2575: 1
Number of DPs for Event 2579: 1
Number of DPs for Event 2613: 1
Number of DPs for Event 2615: 1
Number of DPs for Event 2619: 1
Number of DPs for Event 2624: 1
Number of DPs for Event 2646: 1
Number of DPs for Event 2647: 1
Number of DPs for Event 2648: 1
Number of DPs for Event 2654: 1
Number of DPs for Event 2661: 1
Number of DPs for Event 2671: 1
Number of DPs for Event 2680: 1
Number of DPs for Event 2688: 1
Number of DPs for Event 2691: 1
Number of DPs for Event 2701: 1
Number of DPs for Event 2703: 1
Number of DPs for Event 2710: 1
Number of DPs for Event 2718: 1
